"alert.close.button": "Close"
"camera.effect.name.pinky_nrm": "Pink haze"
"camera.effect.name.red": "Red"
"camera.effect.name.rusty_mpl": "Mud stains"
"camera.effect.name.security_hardlight": "Security camera"
"camera.effect.name.shadow_multiply_02": "Shadow"
"camera.effect.name.shiny_hrd": "Shiny"
"camera.effect.name.stars_hardlight_02": "Stars"
"camera.effect.name.texture_overlay": "Antique"
"camera.effect.name.toxic_hrd": "Toxic"
"camera.effect.name.x_ray": "X-ray"
"camera.effect.required.level": "Requires Camera Achievement Level"
"camera.full.body": "Next photos will replace the last photo on the list. If you want to replace another one, click that photo or the small arrow next to the photo."
"camera.full.header": "Camera is now full"
"camera.interface.title": "Habbo Camera"
"camera.link.to.published": "View on web"
"camera.loading": "Loading"
"camera.open.inventory": "Open inventory"
"camera.photo.moderated": "Your Habbo Camera picture does not follow the Habbo Way, and has been censored."
"camera.preview.button.text": "Preview"
"camera.publish.button.text": "Publish"
"camera.publish.detailed.explanation": "Post the photo on your profile page and the Photos page."
"camera.publish.explanation": "Publish on web"
"camera.publish.success.short.info": "Posted on your profile page and the Photos page!"
"camera.publish.successful": "Published on www.habbo.com!"
"camera.publish.wait": "You have to wait %minutes% minute(s) before publishing your next photo."
"camera.purchase.count.info": "Posters purchased:"
"camera.purchase.header": "Buy photo poster furni"
"camera.purchase.pleasewait": "Camera Pic order requested, please wait a moment!"
"camera.purchase.successful": "Purchased! The poster is now in your inventory."
"camera.render.count.info": "Hold up! You've reached your 24-hour limit for previewing photos. Please come back later."
"camera.report.header": "Report camera pic"
"camera.retake.button.text": "Retake photo"
"camera.retake.button.tooltip": "Take new photo to same slot"
"camera.take.photo.button.tooltip": "Take photo"
"camera.warning.disclaimer": "If photo does not follow the Habbo Way it may be hidden, and price will not be refunded."
"camera.zoom.missing.body": "The room has been zoomed, please return to normal state before taking picture."
"camera.zoom.missing.header": "Camera only works on normal zoom level."
"catalog.alert.external.link.desc": "Link opens to a web page"
"catalog.alert.external.link.title": "Link to the website"
"catalog.alert.group_has_forum": "This group already has a forum, so you'll get just a new forum terminal for it!"
"catalog.alert.limited_edition_sold_out.message": "This Limited Edition Rare is already sold out. Be quicker next time!"
"catalog.alert.limited_edition_sold_out.title": "Sold Out!"
"catalog.alert.notenough.activitypoints.description.0": "You don't have enough Duckets."
"catalog.alert.notenough.activitypoints.description.101": "Argh! It seems you don't have enough Seashells!"
"catalog.alert.notenough.activitypoints.description.102": "Oops. It seems you don't have enough Nuts. You can get Nuts by purchasing Credits from now until April 11th."
"catalog.alert.notenough.activitypoints.description.103": "Oh noes! It seems you don't have enough Stars! To get more Stars complete more quests!"
"catalog.alert.notenough.activitypoints.description.104": "Oops. It seems you don't have enough Clouds! To get Clouds you need to purchase Credits."
"catalog.alert.notenough.activitypoints.description.105": "Oops. It seems you don't have enough Diamonds! To get Diamonds you need to purchase Credits."
"catalog.alert.notenough.activitypoints.description.1": "Oops. It seems you don't have enough Seashells. Complete quests to get some more and try again."
"catalog.alert.notenough.activitypoints.description.2": "Oops. It seems you don't have enough Hearts. Complete quests to get some more and try again."
"catalog.alert.notenough.activitypoints.description.3": "Oops. It seems you don't have enough Gift Points. Subscribe or wait for your monthly gift point to arrive."
"catalog.alert.notenough.activitypoints.description.4": "Oops. It seems you don't have enough Shells. Complete quests to earn more Shells and try again."
"catalog.alert.notenough.activitypoints.description.5": "Oops. It seems you don't have enough Diamonds! To find out how to earn Diamonds see the information page."
"catalog.alert.notenough.activitypoints.title.0": "Not Enough Duckets!"
"catalog.alert.notenough.activitypoints.title.101": "Not Enough Seashells!"
"catalog.alert.notenough.activitypoints.title.102": "Not enough Nuts!"
"catalog.alert.notenough.activitypoints.title.103": "Not Enough Stars!"
"catalog.alert.notenough.activitypoints.title.104": "Not enough Clouds"
"catalog.alert.notenough.activitypoints.title.105": "Not enough Diamonds"
"catalog.alert.notenough.activitypoints.title.1": "Not Enough Seashells!"
"catalog.alert.notenough.activitypoints.title.2": "Not enough Hearts!"
"catalog.alert.notenough.activitypoints.title.3": "Not Enough Gift Points!"
"catalog.alert.notenough.activitypoints.title.4": "Not Enough Shells!"
"catalog.alert.notenough.activitypoints.title.5": "Not enough Diamonds!"
"catalog.alert.notenough.credits.description": "You don´t have enough Credits for this. Click 'ok' to see different ways of getting Credits."
"catalog.alert.notenough.creditsandpixels.description": "You don't have enough Credits and Pixels. Click 'ok' to see different ways of getting Credits."
"catalog.alert.notenough.title": "Not enough Credits"
"catalog.alert.petname.bobba.additionalInfo": "Name contained forbidden words, try again. The problematic part starts at \"
"catalog.alert.petname.bobba": "Name contained forbidden words, try again."
"catalog.alert.petname.chars.additionalInfo": "Forbidden characters (\"
"catalog.alert.petname.chars": "Name contained forbidden characters, try again."
"catalog.alert.petname.empty": "Please enter a name for your pet!"
"catalog.alert.petname.length": "Pet name is too long."
"catalog.alert.petname.long.additionalInfo": "Pet name is too long (max %additional_info% characters)."
"catalog.alert.petname.long": "Pet name is too long."
"catalog.alert.petname.short.additionalInfo": "Pet name is too short (at least %additional_info% characters)."
"catalog.alert.petname.short": "Pet name is too short."
"catalog.alert.published.description": "We just made some changes in the Shop! To avoid errors, the Shop window had to be closed. You can re-open it now!"
"catalog.alert.published.title": "Please re-open the Shop."
"catalog.alert.purchaseerror.badgeexists.description": "You (or the Habbo you're purchasing for) already own this badge! You can't purchase it again!"
"catalog.alert.purchaseerror.description.1": "You, or the gift recipient already has this badge, no need to purchase it again."
"catalog.alert.purchaseerror.description.5": "You can't buy this effect as you already own it"
"catalog.alert.purchaseerror.description": "There was a problem processing your purchase. Please retry."
"catalog.alert.purchaseerror.title": "Oops, please try again."
"catalog.alert.purchasenotallowed.hc.description": "You have to be a member of Habbo Club to be able to buy this."
"catalog.alert.purchasenotallowed.title": "Sorry, this item cannot be bought."
"catalog.alert.purchasenotallowed.unknown.description": "Sorry, but you are doing something illegal."
"catalog.alert.recycler.inventory": "You have to pick up the furniture from the room to your inventory before you can put it in the Furni Matic!"
"catalog.alert.voucherredeem.error.description.0": "The code you entered is not valid, please check it and try again."
"catalog.alert.voucherredeem.error.description.1": "Technical error! Cannot redeem voucher. Please note that codes never include the following letters: i, l, o, w. Please enter code without spaces."
"catalog.alert.voucherredeem.error.description.3": "This voucher must be redeemed in Habbo Web."
"catalog.alert.voucherredeem.error.description": "We could not process your voucher code. Please retry and check the spelling extra carefully."
"catalog.alert.voucherredeem.error.title": "Error processing voucher"
"catalog.alert.voucherredeem.ok.description.furni": "Voucher process succeeded! You got the following furniture: %productName%, %productDescription%"
"catalog.alert.voucherredeem.ok.description": "Voucher code redeemed! Your Credits or rewards have been delivered."
"catalog.alert.voucherredeem.ok.title": "Voucher processed"
"catalog.bundlewidget.discount.promo": "Buy %quantity%, %discount% free included!"
"catalog.bundlewidget.discount.save": "Save"
"catalog.bundlewidget.discount.total": "Total"
"catalog.bundlewidget.discount": "includes %amount% free"
"catalog.bundlewidget.info.equals.bundle": ", 1 BUNDLE"
"catalog.bundlewidget.info.footer": "More bundles , more items for free!"
"catalog.bundlewidget.info.for.free": "For free"
"catalog.bundlewidget.info.header": "For every 5 items, you get 1 free"
"catalog.bundlewidget.price": "Price"
"catalog.bundlewidget.quantity": "Quantity"
"catalog.bundlewidget.spinner.select.amount": "Select Amount"
"catalog.buy.widget.get.club.button": "Get Habbo Club"
"catalog.buy.widget.get.club.to.unlock.this.product": "This item is HC only"
"catalog.buy.widget.get.vip.button": "Get HC!"
"catalog.buy.widget.get.vip.to.unlock.this.product": "This item is HC only"
"catalog.buy.widget.upgrade.club.button": "Upgrade to HC!"
"catalog.buy.widget.upgrade.vip.to.unlock.this.product": "This item is HC only"
"catalog.choosecolour": "Choose Color"
"catalog.chooseproduct": "Choose Product"
"catalog.club.button.buy": "Buy"
"catalog.club.buy.confirm.after": "After upgrade: %days% days of HC membership"
"catalog.club.buy.confirm.amount": "Your subscription will last until: %month%/%day%/%year%"
"catalog.club.buy.confirm.before": "You now have: %days% days of Habbo Club"
"catalog.club.buy.confirm.desc.hc.hc": "You are about to extend your subscription to Habbo Club. Glad to see you continue your subscription!"
"catalog.club.buy.confirm.desc.hc.vip.period": "You're about to upgrade your existing Habbo Club subscription to the Habbo Club. The upgrade will convert your remaining Club Subscription to HC based on the price difference between the subscriptions, and then give you 10 Credits worth of HC."
"catalog.club.buy.confirm.desc.hc.vip": "You are about to subscribe to Habbo Club. Cool!"
"catalog.club.buy.confirm.desc.none.hc": "You are about to subscribe to Habbo Club. Cool!"
"catalog.club.buy.confirm.desc.none.vip": "You are about to subscribe to Habbo Habbo Club. Cool!"
"catalog.club.buy.confirm.desc.vip.vip": "You are about to extend your subscription to Habbo Habbo Club. Glad to see you continue your subscription!"
"catalog.club.buy.confirm.price": "Price: %price% Credits"
"catalog.club.buy.confirm.product": "You're purchasing: %days% days of %club%"
"catalog.club.buy.confirm": "Subscription confirmation"
"catalog.club.buy.header.hc": "What is HC upgrade?"
"catalog.club.buy.header.none": "HC or HC?"
"catalog.club.buy.header.upgrade": "What is HC upgrade?"
"catalog.club.buy.header.vip": "Habbo Club"
"catalog.club.buy.header.viporhc": "HC or HC?"
"catalog.club.buy.header": "Habbo Club"
"catalog.club.buy.info.hc": "Still HC? Upgrade your subscription now to HC or  continue your existing HC membership!"
"catalog.club.buy.info.none": "Get your membership now, get the best deal on HC or go for the ultimate HC subscription!"
"catalog.club.buy.info.vip": "Get your HC subscription now and be the one with the coolest look, room, furniture, biggest friend list and more! Click 'Compare the Benefits' below to see for yourself."
"catalog.club.buy.info": "Check out the best Habbo Club membership deal for you!"
"catalog.club.buy.link": "Compare the benefits >>"
"catalog.club.buy.remaining.hc": "HC remaining: %days% days"
"catalog.club.buy.remaining.vip": "HC remaining: %days% days"
"catalog.club.buy.remaining": "HC remaining: %days% days"
"catalog.club.buy.subscribe": "Subscribe"
"catalog.club.extend.basic.buy.button": "Buy Now"
"catalog.club.extend.basic.confirm.caption": "Extend your HC subscription"
"catalog.club.extend.basic.confirm.title": "Extend your HC subscription"
"catalog.club.extend.basic.expiration_days_left": "This offer will extend your HC subscription for 31 days. The offer is only available for %day% days."
"catalog.club.extend.basic.expires_today": "This offer will extend your HC subscription for 31 days. This offer ends today!"
"catalog.club.extend.basic.later.link": "Ask Later"
"catalog.club.extend.basic.normal.label": "Normal price"
"catalog.club.extend.basic.price.label": "Your Price"
"catalog.club.extend.basic.save.label": "You will save"
"catalog.club.extend.buy.button": "Buy Now"
"catalog.club.extend.confirm.caption": "Extend your HC subscription"
"catalog.club.extend.confirm.title": "Extend your HC subscription"
"catalog.club.extend.expiration_days_left": "The offer is only available for %day% days"
"catalog.club.extend.expires_today": "This offer ends today!"
"catalog.club.extend.later.link": "Ask Later"
"catalog.club.extend.normal.label": "Normal price"
"catalog.club.extend.price.label": "Your price"
"catalog.club.extend.save.label": "You will save"
"catalog.club.hc": "Habbo Club"
"catalog.club.info.content": "Get the Habbo Club membership you want- HC for less or HC for more."
"catalog.club.info.header": "Habbo Club"
"catalog.club.item.header.upgrade": "%months% month upgrade"
"catalog.club.item.header.upgradehctovip": "Upgrade HC to HC"
"catalog.club.item.header": "%months% month"
"catalog.club.price": "%price% Credits"
"catalog.club.vip": "VIP"
"catalog.club_gift.available": "You have %amount% gift(s) available. Select from the list below!"
"catalog.club_gift.club_missing.long": "%months% months, %days% days of subsciption required"
"catalog.club_gift.club_missing": "%days% more days of subsciption required"
"catalog.club_gift.confirm": "Confirm selection"
"catalog.club_gift.days_until_next": "Your next club gift is available in %days% days."
"catalog.club_gift.months_required": "Required: %months% months of membership"
"catalog.club_gift.no_club": "You are not a club member."
"catalog.club_gift.not_available": "No club gifts available"
"catalog.club_gift.past_club.long": "Your past HC length: %months% months, %days% days"
"catalog.club_gift.past_club": "Your past HC length: %days% days"
"catalog.club_gift.past_vip.long": "Your past HC length: %months% months, %days% days"
"catalog.club_gift.past_vip": "Your past HC length: %days% days"
"catalog.club_gift.select": "Select"
"catalog.club_gift.selectable": "You can select this gift"
"catalog.club_gift.subscribe": "Subscribe now to select this gift"
"catalog.club_gift.vip_missing.long": "%months% months, %days% days of HC required"
"catalog.club_gift.vip_missing": "%days% more days of HC required"
"catalog.description": ""
"catalog.featured.expiry": "Expires in %timeleft% !"
"catalog.gift_wrapping.cancel": "Cancel"
"catalog.gift_wrapping.give_gift": "Give this gift"
"catalog.gift_wrapping.message": "Greeting (include your own Habbo name)"
"catalog.gift_wrapping.pick_box": "Pick a box"
"catalog.gift_wrapping.pick_color": "Choose a color for the box"
"catalog.gift_wrapping.pick_ribbon": "Pick a ribbon"
"catalog.gift_wrapping.pick_wrapping": "Pick a wrapping"
"catalog.gift_wrapping.price": "Gift wrapping cost %price% Credits."
"catalog.gift_wrapping.receiver": "Receiver (always add a Habbo name)"
"catalog.gift_wrapping.receiver_not_found.info": "Please try again."
"catalog.gift_wrapping.receiver_not_found.title": "User not found"
"catalog.gift_wrapping.show_face.title": "Show my name and face on the  gift tag"
"catalog.gift_wrapping.title": "Customize your gift"
"catalog.gift_wrapping.use_free": "I don't want that, use free wrapping instead"
"catalog.gift_wrapping_new.box.0": "Royal box"
"catalog.gift_wrapping_new.box.1": "Imperial box"
"catalog.gift_wrapping_new.box.2": "Glamor box"
"catalog.gift_wrapping_new.box.3": "Cardboard box"
"catalog.gift_wrapping_new.box.4": "Steel box"
"catalog.gift_wrapping_new.box.5": "Ice cube box"
"catalog.gift_wrapping_new.box.6": "Wooden box"
"catalog.gift_wrapping_new.box.8": "Valentines box"
"catalog.gift_wrapping_new.box.default": "Basic gift box"
"catalog.gift_wrapping_new.freeprice": "Price: Free"
"catalog.gift_wrapping_new.message_from": "- %name%"
"catalog.gift_wrapping_new.message_hint": "Write your best wishes here!"
"catalog.gift_wrapping_new.name_hint": "Receiver (always add a Habbo name)"
"catalog.gift_wrapping_new.price": "price: + %price%"
"catalog.gift_wrapping_new.ribbon.0": "Red silk knot ribbon"
"catalog.gift_wrapping_new.ribbon.10": "No decoration"
"catalog.gift_wrapping_new.ribbon.1": "Golden silk knot ribbon"
"catalog.gift_wrapping_new.ribbon.2": "Blue silk knot ribbon"
"catalog.gift_wrapping_new.ribbon.3": "Pink bow"
"catalog.gift_wrapping_new.ribbon.4": "Green bow"
"catalog.gift_wrapping_new.ribbon.5": "White bow"
"catalog.gift_wrapping_new.ribbon.6": "Plain ribbon"
"catalog.gift_wrapping_new.ribbon.7": "Organic ribbon"
"catalog.gift_wrapping_new.ribbon.8": "Suspenders"
"catalog.gift_wrapping_new.ribbon.9": "Chains"
"catalog.guild_selector.find_groups": "Find groups to join!"
"catalog.guild_selector.members_only": "Create or join a group to buy group furniture."
"catalog.header": "Habbo Catalog"
"catalog.iap_not_available_desc": "Sorry, purchases are turned off on your device. Please enable in-app purchases from your device settings."
"catalog.iap_not_available_title": "Error purchasing!"
"catalog.iap_purchase_failure": "Purchase failure!"
"catalog.iap_purchase_ok": "Sweet, it's all yours now!"
"catalog.iap_restore_failure": "There was an issue restoring products, please try again!"
"catalog.iap_restore_success": "All your purchases have now been restored!"
"catalog.iap_teaser_desc": "Habbo Credits are Habbo's currency - they are what you use to pay for extras in Habbo, like furniture for your room."
"catalog.iap_teaser_selected_title": "Here's what you get!"
"catalog.iap_teaser_title": "Unlock the fun!"
"catalog.iap_validation_failure": "Purchase validation failure!"
"catalog.in_app_legal_content": "Always ask your parents and/or bill-payer's permission first. If you don't and the payment is later cancelled or declined, you'll be banned. The digital content is delivered immediately upon confirmation of payment and by purchase it is accepted that there is no right of withdrawal. Habbo is owned and operated by Sulake Oy. Contact: help.habbo.com"
"catalog.in_app_legal_title": "Please read this before purchasing"
"catalog.in_app_purchases": "Purchases"
"catalog.marketplace.cancel_failed": "Cancelling an offer failed"
"catalog.marketplace.confirm_header": "Confirm purchase"
"catalog.marketplace.confirm_higher_header": "Someone already bough that! It is now available at a new price."
"catalog.marketplace.confirm_higher_title": "Price changed"
"catalog.marketplace.confirm_price": "Price: %price% Credits"
"catalog.marketplace.confirm_title": "Confirm"
"catalog.marketplace.items_found": "Found %count% items"
"catalog.marketplace.items_shown": "Showing The First %count% Items"
"catalog.marketplace.no_items": "No items found"
"catalog.marketplace.not_available_header": "All the items of that type were sold already."
"catalog.marketplace.not_available_title": "Purchase error"
"catalog.marketplace.offer.expired": "This item was not sold"
"catalog.marketplace.offer.hours": "hours"
"catalog.marketplace.offer.minutes": "minutes"
"catalog.marketplace.offer.pick": "Take back"
"catalog.marketplace.offer.price_own_item": "Price: %price% Credits"
"catalog.marketplace.offer.price_public_item": "Price: %price% (Average: %average%)"
"catalog.marketplace.offer.redeem": "Get Credits"
"catalog.marketplace.offer.sold": "This item is sold"
"catalog.marketplace.offer.time_left": "Time left: %time%"
"catalog.marketplace.offer_count": "Offers: %count%"
"catalog.marketplace.offer_details.average_price": "Average price in last %days% days: %average% Credits"
"catalog.marketplace.offer_details.average_price_short": "Average price: %average%"
"catalog.marketplace.offer_details.back": "Back to item list"
"catalog.marketplace.offer_details.chart_title.not_available": "No data (need two days of trading to show graph)"
"catalog.marketplace.offer_details.chart_title.price_development": "Average sale price during last %days% days"
"catalog.marketplace.offer_details.chart_title.trade_volume": "Trade volumes during last %days% days"
"catalog.marketplace.offer_details.limited_edition_short": "Limited edition number: %number%"
"catalog.marketplace.offer_details.offer_count": "Offer count: %count%"
"catalog.marketplace.offer_details.price": "Cheapest price: %price% Credits"
"catalog.marketplace.offer_details.price_development": "Price development"
"catalog.marketplace.offer_details.trade_volume": "Trade volume"
"catalog.marketplace.operation_failed.topic": "Problem with offer"
"catalog.marketplace.redeem.get_credits": "%count% offer(s) have been sold. Click on Get Credits to get your Credits. Credits waiting: %credits%"
"catalog.marketplace.redeem.no_sold_items": "You have no offers listed which have been sold. When you've posted something, check back here to see the offer status and get your Credits. Use the Inventory window to put items up for sale."
"catalog.marketplace.search_advanced": "Advanced"
"catalog.marketplace.search_by_activity": "By activity"
"catalog.marketplace.search_by_value": "By value"
"catalog.marketplace.search_name": "Search name"
"catalog.marketplace.search_price": "Price between"
"catalog.marketplace.sort.1": "Most expensive items first"
"catalog.marketplace.sort.2": "Cheapest items first"
"catalog.marketplace.sort.3": "Items most traded today first"
"catalog.marketplace.sort.4": "Items least traded today first"
"catalog.marketplace.sort.5": "Items with most offers available"
"catalog.marketplace.sort.6": "Items with least offers available"
"catalog.marketplace.sort_order": "Sort order"
"catalog.marketplace.view_more": "Item info"
"catalog.mobile.bundlewidget.discount": "free! Total: %total%"
"catalog.page.bundle_pirates.text_0": "You'll get a pre-decorated room with 95 items and an exclusive Captain Effect and Badge. Wear the captain's badge and explore our public rooms throughout the campaign to collect prizes! Available throughout August."
"catalog.page.bundle_pirates.text_2": "Save over 50% when you buy from our Payment Page!"
"catalog.page.bundle_pirates": "Captains Bundle"
"catalog.page.candyland15.image_0": "catalog_header_cland15"
"catalog.page.candyland15.image_1": "candylandbc"
"catalog.page.candyland15.image_2": "Empty value"
"catalog.page.candyland15.text_0": "Welcome to Santini Factory, where everything is edible - even the stuff that really shouldn't be..."
"catalog.page.candyland15.text_1": "Empty value"
"catalog.page.candyland15.text_2": "Empty value"
"catalog.page.candyland15": "Candies Factory"
"catalog.page.cat_pirates": "Pirates (NEW)"
"catalog.page.club": "VIP Club"
"catalog.page.club_gifts": "Club Gifts"
"catalog.page.easter14.image_1": "Oooh..."
"catalog.page.easter14.text_0": "From shape shifting wall pieces to cryptic teleports, the Isle of Lagomorph furni line is sure to keep you guessing! Nothing is as it seems on this mind-bending island..."
"catalog.page.easter14.text_1": "Click an item for details:"
"catalog.page.easter14": "Lagomorph"
"catalog.page.giftshop": "Gifts"
"catalog.page.groupfurni": "Group Furni"
"catalog.page.habbopalooza": "Habbo Palooza"
"catalog.page.jellybean.text_0": "The sound of birds chirping, the lush green colours…and the unsettling feeling that you're being watched! This eerie Easter bundle comes brimming with loads of furni and includes an AWESOME Badge!"
"catalog.page.jellybean.text_2": "<i><b><font color,\"
"catalog.page.jellybean": "Jellybean Bundle"
"catalog.page.latest_added": "New Items"
"catalog.page.loyalty_hc": "Habbo Club"
"catalog.page.movie_bundle.text_0": "Draw the curtains, dim the lights and grab your popcorn…This pre-decorated Movie Room Bundle is packed to the rafters with everything the ultimate movie buff could desire. Includes an EXCLUSIVE badge!catalog.page.movie_bundle.text_1,What's included:"
"catalog.page.movie_bundle": "Deja Vu Cinema"
"catalog.page.movie_furni.text_0": "All the way from Habbowood...Everything you could need and more to create your very own movie magic in a home theatre! Available to buy until 30th Nov."
"catalog.page.movie_furni.text_1": "Click on an item for details:"
"catalog.page.movie_furni": "Director's Cut"
"catalog.page.movie_posters.text_0": "From Dark Duck and the Ducket List, to Bobbaro and Get Frank - We have all the Habbo Classics! Each poster will be available for only 12hrs, so get them while they're hot..."
"catalog.page.movie_posters.text_1": "Click on an item for details:"
"catalog.page.movie_posters": "Parody Posters"
"catalog.page.movie_rares.text_0": "What do you get when you cross a christmas cracker with Duck? A Christmas Quacker! This Movie Madness Rare is available for a limited time, so make sure to watch the clock..."
"catalog.page.movie_rares.text_1": "Rares are only available in the catalog for a short time, usually 6-8 hours."
"catalog.page.movie_rares": "Movie Rares"
"catalog.page.palooza_festival.text_0": "Create your own stage and outdoor festival area. We've got stages, fencing and even vending machines!"
"catalog.page.palooza_festival.text_1": "Click an item for details."
"catalog.page.palooza_festival": "Festival"
"catalog.page.palooza_rares.text_0": "Rare items will appear here for a limited time (usually 6-8 hours). Make sure to check often and check your email for updates."
"catalog.page.palooza_rares.text_1": "Click an item for details."
"catalog.page.palooza_rares": "School Rares"
"catalog.page.pets_accessories": "Pet Accessories"
"catalog.page.pinatas.text_0": "A piñata contains one of 5 possible collectible items, some more common than others. Each piñata has its own unique set of possible items and the contents of piñatas can not be found anywhere else in the catalogue. To open the piñata, you must use the Rainbow Piñata Stick effect and walk underneath it 100 times."
"catalog.page.pinatas": "Piñatas!"
